Time,Driver,DriverNumber,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds
0 days 01:04:48.012000,VER,1,1.0,1.0,,,,0 days 00:00:55.474000,0 days 00:00:31.348000,,0 days 01:04:16.765000,0 days 01:04:48.065000,339.0,173.0,209.0,293.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:44.500000,2022-08-28 13:03:44.580,12,8.0,False,,False,False,123.282
0 days 01:07:07.529000,VER,1,2.0,1.0,,,0 days 00:00:32.009000,0 days 00:01:04.504000,0 days 00:00:43.004000,0 days 01:05:20.074000,0 days 01:06:24.578000,0 days 01:07:07.582000,321.0,143.0,163.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:48.012000,2022-08-28 13:05:48.092,124,8.0,False,,False,False,139.517
0 days 01:10:11.554000,VER,1,3.0,1.0,,,0 days 00:00:47.227000,0 days 00:01:23.243000,0 days 00:00:53.575000,0 days 01:07:54.789000,0 days 01:09:18.074000,0 days 01:10:11.678000,213.0,109.0,132.0,287.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:07.529000,2022-08-28 13:08:07.609,4,8.0,False,,False,False,
0 days 01:13:08.004000,VER,1,4.0,1.0,,,0 days 00:00:48.681000,0 days 00:01:18.407000,0 days 00:00:49.372000,0 days 01:11:00.371000,0 days 01:12:18.781000,0 days 01:13:08.213000,149.0,85.0,214.0,278.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:10:11.554000,2022-08-28 13:11:11.634,41,8.0,False,,False,False,
0 days 01:15:01.955000,VER,1,5.0,1.0,,,0 days 00:00:32.124000,0 days 00:00:51.490000,0 days 00:00:30.337000,0 days 01:13:40.181000,0 days 01:14:31.671000,0 days 01:15:02.008000,321.0,187.0,209.0,313.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:13:08.004000,2022-08-28 13:14:08.084,1,6.0,False,,False,True,113.951
0 days 01:16:55.703000,VER,1,6.0,1.0,,,0 days 00:00:32.150000,0 days 00:00:51.344000,0 days 00:00:30.254000,0 days 01:15:34.158000,0 days 01:16:25.502000,0 days 01:16:55.756000,323.0,183.0,211.0,311.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:15:01.955000,2022-08-28 13:16:02.035,1,5.0,False,,False,True,113.748
0 days 01:18:47.657000,VER,1,7.0,1.0,,,0 days 00:00:31.671000,0 days 00:00:49.935000,0 days 00:00:30.348000,0 days 01:17:27.427000,0 days 01:18:17.362000,0 days 01:18:47.710000,339.0,188.0,211.0,312.0,True,SOFT,7.0,True,Red Bull Racing,0 days 01:16:55.703000,2022-08-28 13:17:55.783,1,4.0,False,,False,True,111.954
0 days 01:20:40.298000,VER,1,8.0,1.0,,,0 days 00:00:31.665000,0 days 00:00:50.392000,0 days 00:00:30.584000,0 days 01:19:19.375000,0 days 01:20:09.767000,0 days 01:20:40.351000,342.0,187.0,208.0,310.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:18:47.657000,2022-08-28 13:19:47.737,1,3.0,False,,False,True,112.641
0 days 01:22:33.830000,VER,1,9.0,1.0,,,0 days 00:00:32.256000,0 days 00:00:50.630000,0 days 00:00:30.646000,0 days 01:21:12.607000,0 days 01:22:03.237000,0 days 01:22:33.883000,320.0,186.0,209.0,308.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:20:40.298000,2022-08-28 13:21:40.378,1,3.0,False,,False,True,113.532
0 days 01:24:27.799000,VER,1,10.0,1.0,,,0 days 00:00:32.284000,0 days 00:00:50.975000,0 days 00:00:30.710000,0 days 01:23:06.167000,0 days 01:23:57.142000,0 days 01:24:27.852000,320.0,179.0,209.0,311.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:22:33.830000,2022-08-28 13:23:33.910,1,3.0,False,,False,True,113.969
0 days 01:26:22.433000,VER,1,11.0,1.0,,,0 days 00:00:31.967000,0 days 00:00:51.966000,0 days 00:00:30.701000,0 days 01:24:59.819000,0 days 01:25:51.785000,0 days 01:26:22.486000,339.0,181.0,211.0,313.0,False,SOFT,11.0,True,Red Bull Racing,0 days 01:24:27.799000,2022-08-28 13:25:27.879,1,2.0,False,,False,True,114.634
0 days 01:28:15.591000,VER,1,12.0,1.0,,,0 days 00:00:32.002000,0 days 00:00:50.429000,0 days 00:00:30.727000,0 days 01:26:54.488000,0 days 01:27:44.917000,0 days 01:28:15.644000,338.0,185.0,208.0,313.0,False,SOFT,12.0,True,Red Bull Racing,0 days 01:26:22.433000,2022-08-28 13:27:22.513,1,1.0,False,,False,True,113.158
0 days 01:30:09.319000,VER,1,13.0,1.0,,,0 days 00:00:32.375000,0 days 00:00:50.545000,0 days 00:00:30.808000,0 days 01:28:48.019000,0 days 01:29:38.564000,0 days 01:30:09.372000,316.0,184.0,208.0,309.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:28:15.591000,2022-08-28 13:29:15.671,1,1.0,False,,False,True,113.728
0 days 01:32:03.217000,VER,1,14.0,1.0,,,0 days 00:00:32.403000,0 days 00:00:50.608000,0 days 00:00:30.887000,0 days 01:30:41.775000,0 days 01:31:32.383000,0 days 01:32:03.270000,314.0,181.0,208.0,309.0,False,SOFT,14.0,True,Red Bull Racing,0 days 01:30:09.319000,2022-08-28 13:31:09.399,1,1.0,False,,False,True,113.898
0 days 01:34:01.037000,VER,1,15.0,1.0,,0 days 01:33:57.329000,0 days 00:00:32.398000,0 days 00:00:50.474000,0 days 00:00:34.948000,0 days 01:32:35.668000,0 days 01:33:26.142000,0 days 01:34:01.090000,314.0,182.0,,309.0,False,SOFT,15.0,True,Red Bull Racing,0 days 01:32:03.217000,2022-08-28 13:33:03.297,1,1.0,False,,False,False,117.82
0 days 01:36:06.161000,VER,1,16.0,2.0,0 days 01:34:20.284000,,0 days 00:00:46.178000,0 days 00:00:48.816000,0 days 00:00:30.130000,0 days 01:34:47.268000,0 days 01:35:36.084000,0 days 01:36:06.214000,313.0,196.0,214.0,308.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:34:01.037000,2022-08-28 13:35:01.117,1,2.0,False,,False,False,125.124
